TIME,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2022 01:00,"12,054.94","1,302.30","4,161.19",757.84,"9,676.30","3,172.88","5,908.03",973.46,"38,006.94"
01/01/2022 02:00,"11,793.29","1,259.36","4,147.91",737.24,"9,307.13","3,123.32","5,708.51",959.78,"37,036.52"
01/01/2022 03:00,"11,460.84","1,210.29","4,156.41",725.61,"8,920.42","3,003.40","5,463.52",941.11,"35,881.61"
01/01/2022 04:00,"11,244.98","1,179.31","4,149.81",717.42,"8,678.81","2,898.10","5,255.25",920.37,"35,044.06"
01/01/2022 05:00,"11,073.09","1,171.84","4,140.62",719.18,"8,573.37","2,825.10","5,164.17",918.20,"34,585.57"
01/01/2022 06:00,"11,011.39","1,174.85","4,100.27",733.13,"8,599.81","2,777.35","5,133.47",916.12,"34,446.40"
01/01/2022 07:00,"11,067.72","1,185.96","4,096.77",744.93,"8,733.12","2,765.39","5,200.96",929.41,"34,724.25"
01/01/2022 08:00,"11,052.55","1,205.33","4,093.39",765.27,"8,930.80","2,718.90","5,261.58",944.56,"34,972.37"
01/01/2022 09:00,"11,330.83","1,254.34","4,077.07",789.45,"9,301.22","2,782.89","5,442.83",971.74,"35,950.37"
01/01/2022 10:00,"11,930.18","1,359.64","4,123.21",828.49,"9,971.39","3,020.77","5,781.69","1,005.33","38,020.70"
01/01/2022 11:00,"12,591.36","1,433.14","4,144.24",878.71,"10,486.21","3,301.87","6,113.81","1,023.56","39,972.90"
01/01/2022 12:00,"13,268.02","1,503.86","4,153.02",917.75,"10,949.14","3,603.75","6,409.93","1,043.75","41,849.22"
01/01/2022 13:00,"13,861.02","1,547.66","4,147.73",933.50,"11,189.24","3,891.09","6,555.50","1,054.45","43,180.19"
01/01/2022 14:00,"14,344.02","1,574.04","4,132.78",954.60,"11,241.96","4,123.78","6,565.63","1,065.30","44,002.12"
01/01/2022 15:00,"14,614.91","1,552.69","4,117.72",985.00,"11,004.46","4,294.82","6,606.72","1,074.97","44,251.29"
01/01/2022 16:00,"14,597.07","1,519.31","4,114.81","1,029.75","10,819.91","4,365.18","6,647.99","1,092.43","44,186.44"
01/01/2022 17:00,"14,273.79","1,502.39","4,119.62","1,090.44","11,200.79","4,293.69","6,679.03","1,116.89","44,276.64"
