timestamp,coast,east,farwest,north,northcentral,south,southcentral,west,system
2021-01-01 00:00:00,11047.02,1517.44,3978.22,838.35,13575.28,3545.09,7778.26,1440.19,43719.85
2021-01-01 01:00:00,10954.47,1523.68,3975.76,825.12,13340.34,3586.55,7693.74,1421.39,43321.05
2021-01-01 02:00:00,10883.66,1519.80,3969.81,819.55,13311.63,3586.12,7566.95,1405.54,43063.07
2021-01-01 03:00:00,10926.48,1523.47,3983.49,820.61,13356.44,3570.59,7506.69,1402.28,43090.06
2021-01-01 04:00:00,11019.80,1565.63,3980.94,831.61,13528.65,3590.90,7563.97,1405.09,43486.59
2021-01-01 05:00:00,11177.30,1620.18,3989.05,846.89,13856.24,3647.15,7716.80,1411.72,44265.32
2021-01-01 06:00:00,11410.56,1674.47,4002.89,871.25,14264.48,3739.70,7899.13,1427.79,45290.29
2021-01-01 07:00:00,11520.86,1734.11,4005.83,892.65,14561.96,3762.62,8021.64,1448.15,45947.82
2021-01-01 08:00:00,11527.48,1767.96,3984.84,909.84,14834.58,3738.52,7878.40,1449.03,46090.64
2021-01-01 09:00:00,11575.08,1800.63,3952.64,927.24,15226.18,3661.66,7614.08,1421.22,46178.73
2021-01-01 10:00:00,11564.60,1796.55,3924.62,930.78,15511.87,3574.50,7341.17,1378.11,46022.21
2021-01-01 11:00:00,11449.63,1787.01,3886.97,934.50,15640.48,3423.74,7030.82,1337.12,45490.28
2021-01-01 12:00:00,11239.41,1780.17,3850.07,925.17,15596.02,3263.69,6654.42,1291.67,44600.61
2021-01-01 13:00:00,10991.15,1755.46,3812.65,911.45,15448.06,3138.65,6328.49,1239.95,43625.86
2021-01-01 14:00:00,10771.28,1724.40,3795.83,899.23,15231.37,3037.15,6094.22,1204.31,42757.79
2021-01-01 15:00:00,10723.90,1680.75,3774.07,894.75,15156.29,2997.44,6006.42,1183.89,42417.51
2021-01-01 16:00:00,10854.77,1739.02,3783.26,891.31,15214.91,2994.27,6092.15,1190.71,42760.42
2021-01-01 17:00:00,11432.51,1843.93,3817.36,915.65,15742.91,3107.39,6530.55,1253.62,44643.92
2021-01-01 18:00:00,11960.57,1893.96,3892.41,924.14,15892.13,3291.20,7117.33,1329.60,46301.36
2021-01-01 19:00:00,12011.27,1872.94,3904.44,918.71,15729.32,3309.45,7236.11,1335.79,46318.02
2021-01-01 20:00:00,12003.20,1855.80,3910.68,910.99,15419.29,3289.51,7287.60,1347.10,46024.19
2021-01-01 21:00:00,11913.45,1809.00,3896.85,898.57,15057.46,3265.42,7284.44,1339.51,45464.69
2021-01-01 22:00:00,11652.65,1744.39,3879.35,868.80,14439.83,3195.55,7149.47,1306.64,44236.67
2021-01-01 23:00:00,11342.77,1660.06,3861.36,836.39,13889.99,3100.15,6953.10,1276.07,42919.90
2021-01-02 00:00:00,11098.08,1546.11,3845.30,808.95,13384.79,3018.62,6729.40,1285.17,41716.42
2021-01-02 01:00:00,10915.40,1516.98,3843.72,790.47,13013.61,2945.48,6570.61,1277.06,40873.34
2021-01-02 02:00:00,10825.03,1506.36,3851.81,783.91,12850.82,2900.25,6489.79,1285.91,40493.86
2021-01-02 03:00:00,10776.77,1507.92,3847.78,786.11,12843.08,2887.74,6500.30,1314.12,40463.80
2021-01-02 04:00:00,10856.06,1535.85,3844.83,800.53,13091.82,2939.04,6635.74,1339.10,41042.99
2021-01-02 05:00:00,11052.45,1588.28,3868.47,816.73,13534.12,3036.38,6923.64,1375.11,42195.18
2021-01-02 06:00:00,11358.23,1660.91,3898.41,839.17,14116.12,3178.08,7350.46,1423.26,43824.64
2021-01-02 07:00:00,11608.81,1734.57,3926.69,869.06,14642.52,3308.25,7756.37,1474.21,45320.47
2021-01-02 08:00:00,11807.23,1778.35,3889.87,885.48,14832.22,3374.79,7801.92,1476.03,45845.89
2021-01-02 09:00:00,11901.21,1767.97,3848.47,876.50,14621.08,3321.52,7480.16,1404.44,45221.35
2021-01-02 10:00:00,11831.41,1712.57,3790.82,849.70,14039.71,3190.91,7038.54,1316.19,43769.85
2021-01-02 11:00:00,11650.69,1632.38,3760.19,810.67,13345.78,3026.80,6599.28,1241.44,42067.21
2021-01-02 12:00:00,11371.16,1585.13,3726.16,772.74,12517.37,2881.83,6226.81,1177.83,40259.02
2021-01-02 13:00:00,11060.44,1507.29,3696.82,734.80,11811.22,2786.73,5914.87,1123.64,38635.82
2021-01-02 14:00:00,10835.22,1445.98,3670.54,706.64,11321.08,2719.63,5699.28,1083.33,37481.71
2021-01-02 15:00:00,10694.92,1422.78,3666.57,694.29,11053.84,2677.34,5596.98,1065.50,36872.22
2021-01-02 16:00:00,10698.17,1436.06,3670.13,703.61,11173.60,2680.00,5683.38,1061.64,37106.59
2021-01-02 17:00:00,11104.73,1556.17,3700.08,745.78,11916.58,2789.46,6026.59,1099.51,38938.90
2021-01-02 18:00:00,11820.93,1695.69,3821.26,800.66,12938.05,3048.04,6593.90,1203.76,41922.30
2021-01-02 19:00:00,12005.50,1743.15,3868.68,818.10,13194.44,3124.27,6739.53,1244.70,42738.37
2021-01-02 20:00:00,12059.38,1778.05,3917.94,825.42,13344.98,3178.69,6820.94,1266.94,43192.33
2021-01-02 21:00:00,11974.99,1766.23,3921.76,821.95,13293.26,3191.73,6829.24,1274.13,43073.29
2021-01-02 22:00:00,11711.32,1750.48,3879.14,807.43,13007.08,3162.84,6745.96,1258.50,42322.75
