time,number,temp_2m_south,wind_u_100m_south,wind_v_100m_south,number,temp_2m_north,wind_u_100m_north,wind_v_100m_north,number,temp_2m_east,wind_u_100m_east,wind_v_100m_east,number,temp_2m_west,wind_u_100m_west,wind_v_100m_west
2021-01-01 00:00:00,0,280.44113,8.874052,-4.1255245,0,275.477,-0.75814,-8.064275,0,285.3307,8.095841,5.828926,0,274.88324,3.2399452,-4.0258884
2021-01-01 01:00:00,0,280.06485,8.833785,-4.142875,0,275.49615,-0.38189214,-7.45472,0,284.06274,9.073054,5.08743,0,274.58267,3.051376,-3.8640542
2021-01-01 02:00:00,0,279.50992,8.720156,-3.938205,0,275.44696,0.14660071,-6.802784,0,282.77908,8.66554,4.598661,0,273.86377,2.9875157,-3.8520336
2021-01-01 03:00:00,0,278.65192,8.357309,-3.7230783,0,275.24594,0.8876929,-6.319172,0,281.2511,7.918151,4.829106,0,273.21588,2.9778588,-3.9231648
2021-01-01 04:00:00,0,278.41907,8.048112,-3.5748284,0,275.12744,1.7536684,-5.496035,0,280.96722,8.195437,5.092289,0,272.90448,3.1145504,-3.7909214
2021-01-01 05:00:00,0,277.93253,7.704257,-3.411989,0,275.2038,2.5196548,-4.6416564,0,280.71594,8.76059,4.992007,0,272.35065,3.3123813,-3.8601217
2021-01-01 06:00:00,0,277.94962,7.5197654,-3.1508238,0,275.45374,3.48729,-3.8500137,0,280.37775,8.51925,4.698789,0,271.8148,3.4550922,-3.9197137
2021-01-01 07:00:00,0,277.96945,7.2537155,-3.0254984,0,275.30493,4.435403,-3.4478762,0,280.2328,8.483419,4.5302167,0,271.3111,3.5252528,-4.095429
2021-01-01 08:00:00,0,277.89432,6.9254494,-3.054901,0,275.1596,5.5578613,-3.0818267,0,279.7292,8.833577,4.113767,0,271.29956,3.5737352,-4.0508633
2021-01-01 09:00:00,0,277.16125,6.469347,-3.121815,0,274.98932,6.4282475,-3.1849132,0,279.30466,8.8362,3.542485,0,270.52728,3.6392803,-3.9810588
2021-01-01 10:00:00,0,276.55295,6.7614937,-3.9056604,0,274.53018,6.532222,-4.457194,0,278.54175,8.413922,2.4829469,0,269.13898,2.911904,-4.6280317
2021-01-01 11:00:00,0,276.40512,6.2082863,-4.200659,0,274.44138,6.866798,-4.301578,0,278.37247,8.41406,1.8337904,0,269.00586,2.874654,-4.4383698
2021-01-01 12:00:00,0,276.4562,5.5600986,-4.4230986,0,274.51608,7.078261,-4.323859,0,278.36588,8.214228,1.1603162,0,269.12097,2.9777184,-4.4964504
2021-01-01 13:00:00,0,276.5888,4.902379,-4.4483666,0,274.59268,6.855198,-4.631271,0,278.1398,7.6515903,0.57904226,0,269.06384,3.0884082,-4.698176
2021-01-01 14:00:00,0,276.964,4.4782534,-4.321023,0,274.8754,6.750569,-4.842544,0,278.2638,7.091718,0.37486932,0,269.46954,3.2592165,-5.0151567
2021-01-01 15:00:00,0,279.38242,3.9671912,-3.927426,0,275.7092,6.738349,-5.1613493,0,280.03802,6.5720606,-0.10288653,0,271.90683,3.0878866,-5.0082774
2021-01-01 16:00:00,0,280.5135,3.8140469,-4.143541,0,276.02206,6.3746476,-5.396653,0,280.77777,6.064112,-0.6149313,0,273.30612,2.7208571,-4.699959
2021-01-01 17:00:00,0,282.29376,3.4520245,-4.1336513,0,276.76028,6.028124,-5.189598,0,281.73346,5.580116,-0.45845434,0,275.70947,2.2718067,-4.6167307
2021-01-01 18:00:00,0,283.2843,3.210424,-4.1615515,0,277.02927,5.770272,-5.154817,0,282.56177,5.286383,-0.47835356,0,276.57437,1.9269903,-4.601503
2021-01-01 19:00:00,0,284.20953,3.0357573,-4.1220164,0,277.4551,5.338887,-5.201953,0,283.2964,5.0984974,-0.5649536,0,277.55472,1.6822994,-4.3848524
2021-01-01 20:00:00,0,284.95215,2.9115486,-4.2309446,0,277.78308,4.9166822,-5.2487297,0,283.72125,5.1577034,-0.7610647,0,278.60095,1.4225783,-4.1560006
2021-01-01 21:00:00,0,285.50934,2.6530492,-4.39883,0,277.94415,4.4095917,-5.201705,0,284.22427,5.0747094,-1.2584625,0,278.90976,1.1612928,-3.9017022
