timestamp,temp_2m_south,temp_2m_north,temp_2m_east,temp_2m_west,solar_system,solar_centerwest,solar_northwest,solar_farwest,solar_fareast,solar_southeast,solar_centereast,coast_load,east_load,farwest_load,north_load,northcentral_load,south_load,southcentral_load,west_load,system_load
2022-06-29 01:00:00,85.11,86.26,87.33,85.23,0.2,0.0,0.0,0.0,0.1,0.0,0.1,13275.19,1519.27,4295.79,945.65,12947.0,3504.9,6645.97,1116.23,44249.99
2022-06-29 02:00:00,83.93,83.6,85.38,83.43,0.19,0.0,0.0,0.0,0.1,0.0,0.09,12819.07,1445.39,4272.6,905.64,12280.4,3369.22,6346.96,1076.51,42515.8
2022-06-29 03:00:00,79.99,79.54,83.44,78.31,0.1,0.0,0.0,0.0,0.1,0.0,0.0,12558.05,1385.83,4264.49,877.19,11810.4,3250.56,6192.21,1062.15,41400.88
2022-06-29 04:00:00,78.57,77.75,82.08,75.17,0.1,0.0,0.0,0.0,0.1,0.0,0.0,12511.43,1395.49,4271.19,867.73,11707.94,3220.94,6185.78,1047.69,41208.18
2022-06-29 05:00:00,77.99,75.69,80.16,74.42,0.1,0.0,0.0,0.0,0.1,0.0,0.0,12801.3,1415.3,4262.16,886.5,11985.19,3277.66,6304.09,1052.0,41984.2
2022-06-29 06:00:00,77.3,74.82,79.15,73.61,0.1,0.0,0.0,0.0,0.1,0.0,0.0,13052.72,1467.48,4282.27,917.21,12377.1,3355.24,6502.27,1074.49,43028.8
2022-06-29 07:00:00,77.29,73.63,78.93,73.49,48.41,2.97,2.48,0.62,33.34,0.38,8.62,13263.3,1547.0,4312.58,942.43,12887.36,3425.38,6767.76,1101.47,44247.28
2022-06-29 08:00:00,76.91,72.55,77.89,72.97,1501.08,336.68,81.54,263.73,551.79,83.12,184.22,13861.36,1654.84,4362.86,1009.9,13753.85,3691.93,7202.81,1167.31,46704.84
2022-06-29 09:00:00,76.79,71.81,78.1,72.66,5512.53,1247.5,265.41,1721.23,1493.17,338.64,446.58,14883.3,1832.03,4452.17,1093.19,14998.45,4046.84,7736.73,1267.85,50310.57
2022-06-29 10:00:00,74.1,69.04,75.96,68.24,7607.54,1672.57,310.78,2819.89,1789.3,448.42,566.58,15989.36,2007.3,4541.68,1183.15,16285.63,4425.0,8386.47,1372.2,54190.79
2022-06-29 11:00:00,74.0,69.14,75.82,68.43,8450.5,1737.05,362.35,3369.42,1905.17,475.84,600.67,17063.67,2185.6,4608.16,1275.25,17569.01,4781.22,9172.59,1484.85,58140.35
2022-06-29 12:00:00,74.06,69.17,76.13,68.48,9062.91,1689.46,364.81,3823.35,2107.76,458.45,619.08,18022.12,2299.23,4695.95,1365.56,18857.65,5071.64,9933.95,1574.53,61820.64
2022-06-29 13:00:00,75.42,72.29,78.08,70.35,9174.12,1704.31,363.5,3943.75,2108.74,437.54,616.28,18823.54,2500.4,4770.97,1453.1,20044.8,5298.33,10624.07,1648.85,65164.06
2022-06-29 14:00:00,78.37,77.18,80.82,72.72,9006.95,1598.89,359.54,3831.7,2118.48,474.27,624.07,19312.81,2579.96,4824.56,1529.58,21015.77,5436.49,11182.1,1706.58,67587.86
2022-06-29 15:00:00,83.5,82.85,84.69,80.29,8841.03,1564.31,368.29,3872.71,1942.85,482.16,610.71,19500.61,2682.84,4891.85,1586.22,21724.42,5457.69,11647.73,1758.42,69249.78
2022-06-29 16:00:00,85.69,85.13,86.03,81.71,8355.61,1361.25,341.03,3838.37,1680.67,533.77,600.52,19379.4,2695.29,4965.11,1608.41,22218.24,5465.44,12001.02,1787.49,70120.4
2022-06-29 17:00:00,88.48,87.76,88.32,84.82,8398.95,1482.46,362.67,3767.0,1656.02,543.78,587.02,18979.19,2670.3,4947.99,1609.57,22329.45,5491.94,12170.3,1788.46,69987.19
2022-06-29 18:00:00,89.59,89.36,90.24,85.73,8195.3,1455.02,362.68,3716.35,1568.84,538.87,553.54,18242.27,2670.61,4891.8,1586.65,21960.59,5385.92,12112.04,1751.01,68600.9
2022-06-29 19:00:00,90.9,90.67,91.31,87.07,6750.65,932.35,329.04,3424.52,1177.89,419.23,467.62,17412.45,2580.52,4893.19,1526.57,21104.48,5213.22,11818.39,1689.36,66238.19
2022-06-29 20:00:00,91.86,91.82,91.01,88.54,3750.67,767.96,191.72,1866.65,489.26,213.61,221.47,16871.9,2418.15,4811.08,1436.29,19801.38,5042.26,11279.15,1606.77,63266.98
2022-06-29 21:00:00,91.65,92.79,89.25,90.23,533.47,108.0,28.85,344.22,25.04,10.91,16.45,16449.57,2290.71,4814.37,1365.62,18821.64,4898.02,10796.91,1548.62,60985.48
2022-06-29 22:00:00,91.25,93.25,87.98,89.18,0.15,0.0,0.0,0.05,0.1,0.0,0.0,15635.53,2107.54,4728.69,1261.78,17300.77,4673.94,9994.72,1437.83,57140.79
2022-06-29 23:00:00,90.46,93.14,87.49,88.96,0.1,0.0,0.0,0.0,0.1,0.0,0.0,14877.47,1948.82,4660.6,1159.24,15761.85,4211.25,9151.75,1328.22,53099.2
2022-06-30 00:00:00,88.88,92.33,85.63,87.61,0.1,0.0,0.0,0.0,0.1,0.0,0.0,14016.96,1716.49,4655.43,1070.06,14409.65,3886.87,8390.59,1239.18,49385.23
2022-06-30 01:00:00,88.35,91.07,84.42,87.26,0.1,0.0,0.0,0.0,0.1,0.0,0.0,13381.23,1605.91,4609.59,1005.99,13414.8,3671.23,7803.35,1172.14,46664.25
2022-06-30 02:00:00,87.22,88.23,83.45,85.47,0.1,0.0,0.0,0.0,0.1,0.0,0.0,12848.62,1529.93,4541.9,959.54,12707.48,3496.46,7396.07,1125.73,44605.72
2022-06-30 03:00:00,83.76,83.89,81.9,80.61,0.1,0.0,0.0,0.0,0.1,0.0,0.0,12558.74,1477.54,4514.82,930.76,12290.37,3397.53,7120.75,1096.86,43387.36
